DFG Instituts ID,ROR ID,Name deutsch,Name englisch,Strasse,Hausnummer,Postfach,Postleitzahl vor Ort,Ort,Postleitzahl nach Ort,Einrichtungsart,Einrichtungsart englisch,DESTATIS Fächergruppe,DESTATIS Fächergruppe englisch,DESTATIS Lehr- Forschungsbereich,DESTATIS Lehr- Forschungsbereich englisch,DESTATIS Fachgebiet,DESTATIS Fachgebiet englisch,URL der Einrichtung,URL GERiT Nachweis
10070,https://ror.org/022r03w28,Hochschule der Medien (HdM) Stuttgart,Media University (HdM) Stuttgart,Nobelstraße,10,,70569,Stuttgart,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hdm-stuttgart.de/,http://www.gerit.org/de/institutiondetail/10070
10071,https://ror.org/039gdg280,Hochschule für Technik Stuttgart,Stuttgart University of Applied Sciences,Schellingstraße,24,,70174,Stuttgart,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hft-stuttgart.de,http://www.gerit.org/de/institutiondetail/10071
10072,https://ror.org/04gg60e72,Hochschule Aalen - Technik und Wirtschaft,Aalen University of Applied Sciences,Beethovenstraße,1,,73430,Aalen,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-aalen.de/,http://www.gerit.org/de/institutiondetail/10072
10073,https://ror.org/04g5gcg95,Hochschule Heilbronn (HHN),Heilbronn University of Applied Sciences,Max-Planck-Straße,39,,74081,Heilbronn,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-heilbronn.de/,http://www.gerit.org/de/institutiondetail/10073
10074,https://ror.org/056cezx90,Hochschule Esslingen,Esslingen University of Applied Sciences,Kanalstraße,33,,73728,Esslingen,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-esslingen.de/,http://www.gerit.org/de/institutiondetail/10074
10075,https://ror.org/01c0m1t63,Hochschule Karlsruhe - Technik und Wirtschaft (HsKA),Karlsruhe University of Applied Sciences,Moltkestraße,30,,76133,Karlsruhe,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-karlsruhe.de,http://www.gerit.org/de/institutiondetail/10075
10076,https://ror.org/051qw9f78,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung (HTWG)",Konstanz University of Applied Sciences,Alfred-Wachtel-Straße,8,,78462,Konstanz,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.htwg-konstanz.de/,http://www.gerit.org/de/institutiondetail/10076
10077,https://ror.org/05e5kd476,Technische Hochschule Ulm (THU),Ulm University of Applied Sciences,Prittwitzstraße,10,,89075,Ulm,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-ulm.de,http://www.gerit.org/de/institutiondetail/10077
10078,https://ror.org/02dvf9b44,Heidelberger Akademie der Wissenschaften,Heidelberg Academy of Sciences and Humanities,Karlstraße,4,,69117,Heidelberg,,Akad. d. Wiss.,Academies,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hadw-bw.de,http://www.gerit.org/de/institutiondetail/10078
10080,https://ror.org/04a8rd767,"Max-Planck-Institut zur Erforschung von Kriminalität, Sicherheit und Recht","Max Planck Institute for the Study of Crime, Security and Law",Günterstalstraße,73,,79100,Freiburg,,MPG,Max Planck Society,"Rechts-, Wirtschafts- und  Sozialwissenschaften","Law, Economics and Social Sciences",Rechtswissenschaften,Law,Internationales Recht und Rechtsvergleichung,International and Comparative Law,csl.mpg.de/de/,http://www.gerit.org/de/institutiondetail/10080
10081,https://ror.org/058xzat49,Max-Planck-Institut für Immunbiologie und Epigenetik,Max Planck Institute of Immunobiology and Epigenetics,Stübeweg,51,,79108,Freiburg,,MPG,Max Planck Society,Humanmedizin/Gesundheitswissenschaften,Human Medicine / Health Sciences,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Clinical Theoretical Medicine (incl. Dentistry),Immunologie,Immunology,www.ie-freiburg.mpg.de,http://www.gerit.org/de/institutiondetail/10081
10082,https://ror.org/01vhnrs90,Max-Planck-Institut für Astronomie (MPIA),Max Planck Institute for Astronomy (MPIA),Königstuhl,17,,69117,Heidelberg,,MPG,Max Planck Society,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences","Physik, Astronomie","Physics, Astronomy","Astronomie, Astrophysik","Astronomy, Astrophysics",www.mpia.de,http://www.gerit.org/de/institutiondetail/10082
10083,https://ror.org/0515m2n86,Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht,Max Planck Institute for Comparative Public Law and International Law,Im Neuenheimer Feld,535,,69120,Heidelberg,,MPG,Max Planck Society,"Rechts-, Wirtschafts- und  Sozialwissenschaften","Law, Economics and Social Sciences",Rechtswissenschaften,Law,Internationales Recht und Rechtsvergleichung,International and Comparative Law,www.mpil.de,http://www.gerit.org/de/institutiondetail/10083
10084,https://ror.org/052d0h423,Max-Planck-Institut für Kernphysik,Max Planck Institute for Nuclear Physics,Saupfercheckweg,1,,69117,Heidelberg,,MPG,Max Planck Society,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences","Physik, Astronomie","Physics, Astronomy",Kernphysik,Nuclear Physics,www.mpi-hd.mpg.de/,http://www.gerit.org/de/institutiondetail/10084
10085,https://ror.org/000bxzc63,Max-Planck-Institut für medizinische Forschung,Max Planck Institute for Medical Research,Jahnstraße,29,,69120,Heidelberg,,MPG,Max Planck Society,Humanmedizin/Gesundheitswissenschaften,Human Medicine / Health Sciences,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Clinical Theoretical Medicine (incl. Dentistry),Experimentelle Medizin/Medizinforschung (ohne klinische Medizin),Experimental Medicine / Medical Research (excl. Clinical Medicine),www.mr.mpg.de,http://www.gerit.org/de/institutiondetail/10085
10087,https://ror.org/005bk2339,Max-Planck-Institut für Festkörperforschung (MPI-FKF),Max Planck Institute for Solid State Research (MPI-FKF),Heisenbergstraße,1,,70569,Stuttgart,,MPG,Max Planck Society,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences","Physik, Astronomie","Physics, Astronomy",Festkörperphysik,Solid State Physics,www.fkf.mpg.de/,http://www.gerit.org/de/institutiondetail/10087
10088,https://ror.org/04fq9j139,Max-Planck-Institut für Intelligente Systeme,Max Planck Institute for Intelligent Systems,Heisenbergstraße,3,,70569,Stuttgart,,MPG,Max Planck Society,Ingenieurwissenschaften,Engineering,Informatik,Computer Science,Künstliche Intelligenz,Artifical Intelligence,www.is.mpg.de/,http://www.gerit.org/de/institutiondetail/10088
10090,https://ror.org/04vh1tq58,Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft,Friedrich Miescher Laboratory of the Max Planck Society,Max-Planck-Ring,9,,72076,Tübingen,,MPG,Max Planck Society,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences",Biologie,Biology,Biologie allgemein,Biology (General),www.fml.tuebingen.mpg.de/,http://www.gerit.org/de/institutiondetail/10090
10091,https://ror.org/026nmvv73,Max-Planck-Institut für biologische Kybernetik,Max Planck Institute for Biological Cybernetics,Max-Planck-Ring,8-14,,72076,Tübingen,,MPG,Max Planck Society,Humanmedizin/Gesundheitswissenschaften,Human Medicine / Health Sciences,Klinisch-Praktische Humanmedizin (ohne Zahnmedizin),Clinical-Practical Medicine (excl. Dentistry),Neurologie,Neurology,www.kyb.tuebingen.mpg.de,http://www.gerit.org/de/institutiondetail/10091
10092,https://ror.org/022jc0g24,Max-Planck-Institut für Biologie,Max Planck Institute for Biology,Max-Planck-Ring,5,,72076,Tübingen,,MPG,Max Planck Society,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences",Biologie,Biology,Biologie allgemein,Biology (General),www.eb.tuebingen.mpg.de/,http://www.gerit.org/de/institutiondetail/10092
10094,https://ror.org/01nh64743,Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO),Fraunhofer Institute for Industrial Engineering (IAO),Nobelstraße,12,,70569,Stuttgart,,FhG,Fraunhofer,"Rechts-, Wirtschafts- und  Sozialwissenschaften","Law, Economics and Social Sciences",Wirtschaftswissenschaften,Economics and Business,Arbeitslehre/-wissenschaft,Ergonomics / Occupational Science,www.iao.fraunhofer.de/lang-de/,http://www.gerit.org/de/institutiondetail/10094
10095,https://ror.org/01zx97922,"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB","Fraunhofer-Institute of Optronics, System Technologies and Image Exploitation IOSB",Fraunhoferstraße,1,,76131,Karlsruhe,,FhG,Fraunhofer,Ingenieurwissenschaften,Engineering,Elektrotechnik und Informationstechnik,"Electrical, Computer and Information Engineering",Optoelektronik,Opto-Electronics,www.iosb.fraunhofer.de,http://www.gerit.org/de/institutiondetail/10095
10096,https://ror.org/0083ncs46,Fraunhofer-Institut für Angewandte Festkörperphysik (IAF),Fraunhofer Institute for Applied Solid State Physics (IAF),Tullastraße,72,,79108,Freiburg,,FhG,Fraunhofer,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences","Physik, Astronomie","Physics, Astronomy",Festkörperphysik,Solid State Physics,www.iaf.fraunhofer.de/,http://www.gerit.org/de/institutiondetail/10096
10097,https://ror.org/04cdgtt98,Deutsches Krebsforschungszentrum (DKFZ),German Cancer Research Center (DKFZ),Im Neuenheimer Feld,280,,69120,Heidelberg,,HGF,Helmholtz,Humanmedizin/Gesundheitswissenschaften,Human Medicine / Health Sciences,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Clinical Theoretical Medicine (incl. Dentistry),Klinische Krebsforschung und molekulare Tumorforschung,Clinical Cancer Research and Molecular Tumour Research,www.dkfz.de,http://www.gerit.org/de/institutiondetail/10097
10099,https://ror.org/006g31f33,Leibniz-Institut für Sonnenphysik (KIS),Leibniz Institute of Solar Physics (KIS),Schöneckstraße,6,,79104,Freiburg,,WGL,Leibniz Association,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences","Physik, Astronomie","Physics, Astronomy","Astronomie, Astrophysik","Astronomy, Astrophysics",www.leibniz-kis.de/,http://www.gerit.org/de/institutiondetail/10099
10100,https://ror.org/03mstc592,Europäisches Laboratorium für Molekularbiologie (EMBL),European Molecular Biology Laboratory (EMBL),Meyerhofstraße,1,,69117,Heidelberg,,Int. wiss. Org.,Int. scient. organ.,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences",Biologie,Biology,Mikrobiologie,Microbiology,www.embl.de,http://www.gerit.org/de/institutiondetail/10100
10101,https://ror.org/00hvwkt50,Leibniz-Institut für Deutsche Sprache (IDS),Leibniz Institute for the German Language (IDS),R 5,6-13,,68161,Mannheim,,WGL,Leibniz Association,Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)",Deutsche Sprachwissenschaft,German Linguistics,www.ids-mannheim.de,http://www.gerit.org/de/institutiondetail/10101
10102,https://ror.org/01hynnt93,Zentralinstitut für Seelische Gesundheit (ZI),Central Institute of Mental Health (CIMH),J 5,,,68159,Mannheim,,Landesforschung,State research,Humanmedizin/Gesundheitswissenschaften,Human Medicine / Health Sciences,Klinisch-Praktische Humanmedizin (ohne Zahnmedizin),Clinical-Practical Medicine (excl. Dentistry),Psychiatrie,Psychiatry,www.zi-mannheim.de/,http://www.gerit.org/de/institutiondetail/10102
10104,https://ror.org/045gmmg53,"Max Rubner-Institut (MRI), Bundesforschungsinstitut für Ernährung und Lebensmittel","Max Rubner-Institut (MRI), Federal Research Institute of Nutrition and Food",Haid-und-Neu-Straße,9,,76131,Karlsruhe,,Bundesforschung,Federal research,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin","Agriculture, Forestry and Nutritional Science, Veterinary Medicine",Ernährungs- und Haushaltswissenschaften,Nutritional and Domestic Science,Ernährungswissenschaften,Nutritional Science,www.mri.bund.de/de/home/,http://www.gerit.org/de/institutiondetail/10104
10106,https://ror.org/04y3tyb88,Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg (FVA),Forestry Research and Experimental Station of Baden-Württemberg,Wonnhaldestraße,4,,79100,Freiburg,,Sonst. Forschg,Other res. inst.,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin","Agriculture, Forestry and Nutritional Science, Veterinary Medicine","Forstwissenschaft, Holzwirtschaft","Forestry, Wood Management",Forstliche Fachwissenschaften,Specialised Forestry,www.fva-bw.de/,http://www.gerit.org/de/institutiondetail/10106
10107,https://ror.org/05kw00716,Institut für Mikroelektronik Stuttgart (IMS CHIPS),Institut für Mikroelektronik Stuttgart (IMS CHIPS),Allmandring,30a,,70569,Stuttgart,,Landesforschung,State research,Ingenieurwissenschaften,Engineering,Elektrotechnik und Informationstechnik,"Electrical, Computer and Information Engineering",Elektrotechnik allgemein,Electrical Engineering (General),www.ims-chips.de/,http://www.gerit.org/de/institutiondetail/10107
10108,https://ror.org/05591te55,Ludwig-Maximilians-Universität München (LMU),Ludwig-Maximilians-Universität München (LMU),Geschwister-Scholl-Platz,1,,80539,München,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-muenchen.de/index.html,http://www.gerit.org/de/institutiondetail/10108
10110,https://ror.org/00mx91s63,Katholische Universität Eichstätt-Ingolstadt,Catholic University of Eichstätt-Ingolstadt,,,,85071,Eichstätt,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.ku.de/,http://www.gerit.org/de/institutiondetail/10110
10111,https://ror.org/05ydjnb78,Universität Passau,University of Passau,Innstraße,41,,94032,Passau,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-passau.de,http://www.gerit.org/de/institutiondetail/10111
10113,https://ror.org/01eezs655,Universität Regensburg,University of Regensburg,Universitätsstraße,31,,93053,Regensburg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-regensburg.de/,http://www.gerit.org/de/institutiondetail/10113
10115,https://ror.org/00f7hpc57,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,Schlossplatz,4,,91054,Erlangen,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.fau.de/,http://www.gerit.org/de/institutiondetail/10115
10117,https://ror.org/0234wmv40,Universität Bayreuth,University of Bayreuth,Universitätsstraße,30,,95447,Bayreuth,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-bayreuth.de,http://www.gerit.org/de/institutiondetail/10117
10119,https://ror.org/01c1w6d29,Otto-Friedrich-Universität Bamberg,University of Bamberg,Kapuzinerstraße,16,,96047,Bamberg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-bamberg.de,http://www.gerit.org/de/institutiondetail/10119
10121,https://ror.org/00fbnyb24,Julius-Maximilians-Universität Würzburg,Julius Maximilian University of Würzburg,Sanderring,2,,97070,Würzburg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-wuerzburg.de,http://www.gerit.org/de/institutiondetail/10121
10123,https://ror.org/03p14d497,Universität Augsburg,University of Augsburg,Universitätsstraße,2,,86159,Augsburg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-augsburg.de/,http://www.gerit.org/de/institutiondetail/10123
10125,https://ror.org/02kkvpp62,Technische Universität München (TUM),Technical University of Munich,Arcisstraße,21,,80333,München,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.tum.de/,http://www.gerit.org/de/institutiondetail/10125
10127,https://ror.org/02kqy4228,Hochschule für Philosophie München,Munich School of Philosophy,Kaulbachstraße,31/33,,80539,München,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hfph.de,http://www.gerit.org/de/institutiondetail/10127
10128,https://ror.org/05kkv3f82,Universität der Bundeswehr München,Bundeswehr University Munich,Werner-Heisenberg-Weg,39,,85579,Neubiberg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.unibw.de/,http://www.gerit.org/de/institutiondetail/10128
10130,https://ror.org/012k1v959,Hochschule für angewandte Wissenschaften München,University of Applied Sciences München,Lothstraße,34,,80335,München,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hm.edu,http://www.gerit.org/de/institutiondetail/10130
10131,https://ror.org/00gzkxz88,Hochschule Weihenstephan-Triesdorf,University of Applied Sciences Weihenstephan-Triesdorf,Am Hofgarten,4,,85354,Freising,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hswt.de/,http://www.gerit.org/de/institutiondetail/10131
10132,https://ror.org/03hbmgt12,Technische Hochschule Rosenheim,Rosenheim Technical University of Applied Sciences,Hochschulstraße,1,,83024,Rosenheim,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.th-rosenheim.de/,http://www.gerit.org/de/institutiondetail/10132
10133,https://ror.org/04b9vrm74,Ostbayerische Technische Hochschule Regensburg (OTH),OTH Regensburg,Seybothstraße,2,,93053,Regensburg,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.oth-regensburg.de/,http://www.gerit.org/de/institutiondetail/10133
10134,https://ror.org/02p5hsv84,Hochschule für angewandte Wissenschaften Coburg,Coburg University of Applied Sciences,Friedrich-Streib-Straße,2,,96450,Coburg,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-coburg.de,http://www.gerit.org/de/institutiondetail/10134
10135,https://ror.org/01k5h5v15,Technische Hochschule Würzburg-Schweinfurt,Technical University of Applied Sciences Würzburg-Schweinfurt,Münzstraße,12,,97070,Würzburg,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.thws.de,http://www.gerit.org/de/institutiondetail/10135
10137,https://ror.org/02m4p8096,Hochschule für angewandte Wissenschaften Kempten,Kempten University of Applied Sciences,Bahnhofstraße,61,,87435,Kempten,,Weitere HS/FS,Univ.of appl.science,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.hs-kempten.de/home.html,http://www.gerit.org/de/institutiondetail/10137
